Council,Councilname,Organisation,Year,Grant Category,NumberofApplications,NumberofAwards,AwardRate,AmountApplied,AmountAwarded,AwardRateValue,latitude,longitude
AHRC,Arts and Humanities,Abertay University,2017-18,Research and Innovation Grant,2,1,50,119,60,51,56.46334,-2.973441
AHRC,Arts and Humanities,Abertay University,2018-19,Research and Innovation Grant,3,1,33,5641,5250,93,56.46334,-2.973441
AHRC,Arts and Humanities,Abertay University,2019-20,Research and Innovation Grant,4,1,25,794,403,51,56.46334,-2.973441
AHRC,Arts and Humanities,Aberystwyth University,2015-16,Research and Innovation Grant,1,0,0,28,0,0,52.403473,-4.043584
AHRC,Arts and Humanities,Aberystwyth University,2016-17,Research and Innovation Grant,6,2,33,1009,849,84,52.403473,-4.043584
AHRC,Arts and Humanities,Aberystwyth University,2017-18,Research and Innovation Grant,3,0,0,1038,0,0,52.403473,-4.043584
AHRC,Arts and Humanities,Aberystwyth University,2018-19,Research and Innovation Grant,1,0,0,787,0,0,52.403473,-4.043584
AHRC,Arts and Humanities,Aberystwyth University,2019-20,Research and Innovation Grant,4,2,50,3475,2013,58,52.403473,-4.043584
AHRC,Arts and Humanities,Anglia Ruskin University,2016-17,Fellowship,1,0,0,171,0,0,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2018-19,Fellowship,1,0,0,200,0,0,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2019-20,Fellowship,1,0,0,158,0,0,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2015-16,Research and Innovation Grant,2,1,50,156,121,78,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2016-17,Research and Innovation Grant,1,0,0,37,0,0,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2017-18,Research and Innovation Grant,3,0,0,129,0,0,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2018-19,Research and Innovation Grant,1,0,0,200,0,0,51.741381,0.474495
AHRC,Arts and Humanities,Anglia Ruskin University,2019-20,Research and Innovation Grant,3,2,67,906,860,95,51.741381,0.474495
AHRC,Arts and Humanities,Aston University,2017-18,Fellowship,2,0,0,277,0,0,52.486637,-1.890952
AHRC,Arts and Humanities,Aston University,2019-20,Fellowship,1,0,0,175,0,0,52.486637,-1.890952
AHRC,Arts and Humanities,Aston University,2015-16,Research and Innovation Grant,1,0,0,207,0,0,52.486637,-1.890952
AHRC,Arts and Humanities,Aston University,2016-17,Research and Innovation Grant,2,0,0,153,0,0,52.486637,-1.890952
AHRC,Arts and Humanities,Aston University,2017-18,Research and Innovation Grant,1,1,100,79,80,101,52.486637,-1.890952
AHRC,Arts and Humanities,Aston University,2019-20,Research and Innovation Grant,2,0,0,108,0,0,52.486637,-1.890952
AHRC,Arts and Humanities,Bangor University,2017-18,Fellowship,1,0,0,187,0,0,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2018-19,Fellowship,2,0,0,488,0,0,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2019-20,Fellowship,1,0,0,180,0,0,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2015-16,Research and Innovation Grant,3,2,67,655,61,9,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2016-17,Research and Innovation Grant,1,1,100,35,36,101,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2017-18,Research and Innovation Grant,4,1,25,1053,79,7,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2018-19,Research and Innovation Grant,2,0,0,280,0,0,53.229193,-4.129437
AHRC,Arts and Humanities,Bangor University,2019-20,Research and Innovation Grant,5,1,20,760,200,26,53.229193,-4.129437
AHRC,Arts and Humanities,Bath Spa University,2015-16,Fellowship,1,0,0,78,0,0,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2016-17,Fellowship,1,1,100,130,131,101,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2017-18,Fellowship,1,0,0,200,0,0,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2018-19,Fellowship,1,0,0,187,0,0,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2019-20,Fellowship,1,1,100,200,202,101,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2015-16,Research and Innovation Grant,4,1,25,754,80,11,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2016-17,Research and Innovation Grant,7,3,43,1562,172,11,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2017-18,Research and Innovation Grant,4,0,0,1080,0,0,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2018-19,Research and Innovation Grant,4,1,25,376,85,23,51.373209,-2.440912
AHRC,Arts and Humanities,Bath Spa University,2019-20,Research and Innovation Grant,5,2,40,482,350,73,51.373209,-2.440912
AHRC,Arts and Humanities,Birkbeck College,2018-19,Fellowship,1,0,0,184,0,0,51.521891,-0.130359
AHRC,Arts and Humanities,Birkbeck College,2019-20,Fellowship,1,0,0,164,0,0,51.521891,-0.130359
AHRC,Arts and Humanities,Birkbeck College,2015-16,Research and Innovation Grant,5,2,40,2391,392,16,51.521891,-0.130359
AHRC,Arts and Humanities,Birkbeck College,2016-17,Research and Innovation Grant,4,2,50,1246,1013,81,51.521891,-0.130359
AHRC,Arts and Humanities,Birkbeck College,2017-18,Research and Innovation Grant,5,0,0,2125,0,0,51.521891,-0.130359
AHRC,Arts and Humanities,Birkbeck College,2018-19,Research and Innovation Grant,6,3,50,2580,1040,40,51.521891,-0.130359
AHRC,Arts and Humanities,Birkbeck College,2019-20,Research and Innovation Grant,5,0,0,1416,0,0,51.521891,-0.130359
AHRC,Arts and Humanities,Birmingham City University,2015-16,Fellowship,1,0,0,101,0,0,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2016-17,Fellowship,2,1,50,271,135,50,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2018-19,Fellowship,1,1,100,181,184,101,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2019-20,Fellowship,1,0,0,191,0,0,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2015-16,Research and Innovation Grant,8,4,50,957,302,32,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2016-17,Research and Innovation Grant,5,2,40,644,406,63,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2017-18,Research and Innovation Grant,10,1,10,2260,684,30,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2018-19,Research and Innovation Grant,8,3,38,1232,244,20,52.517271,-1.897287
AHRC,Arts and Humanities,Birmingham City University,2019-20,Research and Innovation Grant,8,1,13,1758,36,2,52.517271,-1.897287
AHRC,Arts and Humanities,Bournemouth University,2017-18,Fellowship,1,0,0,184,0,0,50.742979,-1.897168
AHRC,Arts and Humanities,Bournemouth University,2018-19,Fellowship,2,1,50,375,186,50,50.742979,-1.897168
AHRC,Arts and Humanities,Bournemouth University,2015-16,Research and Innovation Grant,6,2,33,625,181,29,50.742979,-1.897168
AHRC,Arts and Humanities,Bournemouth University,2016-17,Research and Innovation Grant,4,2,50,975,603,62,50.742979,-1.897168
AHRC,Arts and Humanities,Bournemouth University,2017-18,Research and Innovation Grant,9,3,33,458,183,40,50.742979,-1.897168
AHRC,Arts and Humanities,Bournemouth University,2018-19,Research and Innovation Grant,3,1,33,264,201,76,50.742979,-1.897168
AHRC,Arts and Humanities,Bournemouth University,2019-20,Research and Innovation Grant,7,2,29,747,131,18,50.742979,-1.897168
AHRC,Arts and Humanities,British Library,2015-16,Research and Innovation Grant,2,1,50,1020,950,93,51.5293419,-0.127559835
AHRC,Arts and Humanities,British Library,2018-19,Research and Innovation Grant,1,0,0,49,0,0,51.5293419,-0.127559835
AHRC,Arts and Humanities,British Library,2019-20,Research and Innovation Grant,3,3,100,501,472,94,51.5293419,-0.127559835
AHRC,Arts and Humanities,Brunel University London,2016-17,Fellowship,2,1,50,351,159,45,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2017-18,Fellowship,5,0,0,959,0,0,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2018-19,Fellowship,2,1,50,286,97,34,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2015-16,Research and Innovation Grant,7,3,43,2417,1371,57,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2016-17,Research and Innovation Grant,5,0,0,1836,0,0,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2017-18,Research and Innovation Grant,5,0,0,972,0,0,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2018-19,Research and Innovation Grant,1,1,100,199,202,102,51.532838,-0.472856
AHRC,Arts and Humanities,Brunel University London,2019-20,Research and Innovation Grant,4,1,25,1538,417,27,51.532838,-0.472856
AHRC,Arts and Humanities,Canterbury Christ Church University,2015-16,Research and Innovation Grant,1,0,0,179,0,0,51.279643,1.089364
AHRC,Arts and Humanities,Canterbury Christ Church University,2017-18,Research and Innovation Grant,2,1,50,553,202,37,51.279643,1.089364
AHRC,Arts and Humanities,Canterbury Christ Church University,2019-20,Research and Innovation Grant,1,0,0,24,0,0,51.279643,1.089364
AHRC,Arts and Humanities,Cardiff Metropolitan University,2017-18,Fellowship,1,1,100,159,161,101,51.483608,-3.223624
AHRC,Arts and Humanities,Cardiff Metropolitan University,2016-17,Research and Innovation Grant,1,0,0,320,0,0,51.483608,-3.223624
AHRC,Arts and Humanities,Cardiff Metropolitan University,2017-18,Research and Innovation Grant,3,1,33,166,59,35,51.483608,-3.223624
AHRC,Arts and Humanities,Cardiff Metropolitan University,2018-19,Research and Innovation Grant,1,0,0,774,0,0,51.483608,-3.223624
AHRC,Arts and Humanities,Cardiff University,2015-16,Fellowship,1,1,100,68,68,100,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2016-17,Fellowship,1,0,0,199,0,0,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2017-18,Fellowship,1,1,100,199,201,101,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2018-19,Fellowship,1,0,0,150,0,0,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2015-16,Research and Innovation Grant,7,3,43,1336,546,41,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2016-17,Research and Innovation Grant,9,2,22,1826,404,22,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2017-18,Research and Innovation Grant,20,8,40,2072,1049,51,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2018-19,Research and Innovation Grant,7,2,29,8351,6028,72,51.489057,-3.179825
AHRC,Arts and Humanities,Cardiff University,2019-20,Research and Innovation Grant,11,5,45,2308,1055,46,51.489057,-3.179825
AHRC,Arts and Humanities,"City, University of London",2017-18,Fellowship,2,0,0,314,0,0,51.527704,-0.102614
AHRC,Arts and Humanities,"City, University of London",2016-17,Research and Innovation Grant,2,0,0,195,0,0,51.527704,-0.102614
AHRC,Arts and Humanities,"City, University of London",2017-18,Research and Innovation Grant,1,0,0,31,0,0,51.527704,-0.102614
AHRC,Arts and Humanities,"City, University of London",2019-20,Research and Innovation Grant,3,1,33,1009,207,21,51.527704,-0.102614
AHRC,Arts and Humanities,Courtauld Institute of Art,2015-16,Research and Innovation Grant,1,1,100,20,20,101,51.510732,-0.116938
AHRC,Arts and Humanities,Courtauld Institute of Art,2017-18,Research and Innovation Grant,1,0,0,361,0,0,51.510732,-0.116938
AHRC,Arts and Humanities,Courtauld Institute of Art,2019-20,Research and Innovation Grant,1,1,100,29,29,101,51.510732,-0.116938
AHRC,Arts and Humanities,Coventry University,2016-17,Fellowship,1,0,0,180,0,0,52.405314,-1.500063
AHRC,Arts and Humanities,Coventry University,2017-18,Fellowship,1,0,0,200,0,0,52.405314,-1.500063
AHRC,Arts and Humanities,Coventry University,2019-20,Fellowship,2,0,0,378,0,0,52.405314,-1.500063
AHRC,Arts and Humanities,Coventry University,2015-16,Research and Innovation Grant,5,0,0,301,0,0,52.405314,-1.500063
AHRC,Arts and Humanities,Coventry University,2016-17,Research and Innovation Grant,12,4,33,2504,315,13,52.405314,-1.500063
AHRC,Arts and Humanities,Coventry University,2017-18,Research and Innovation Grant,4,3,75,728,159,22,52.405314,-1.500063
AHRC,Arts and Humanities,Coventry University,2018-19,Research and Innovation Grant,3,1,33,148,31,21,52.405314,-1.500063
AHRC,Arts and Humanities,Coventry University,2019-20,Research and Innovation Grant,6,2,33,3187,111,3,52.405314,-1.500063
AHRC,Arts and Humanities,De Montfort University,2016-17,Fellowship,2,1,50,442,249,56,52.629286,-1.137817
AHRC,Arts and Humanities,De Montfort University,2018-19,Fellowship,1,0,0,151,0,0,52.629286,-1.137817
AHRC,Arts and Humanities,De Montfort University,2019-20,Fellowship,1,0,0,151,0,0,52.629286,-1.137817
AHRC,Arts and Humanities,De Montfort University,2015-16,Research and Innovation Grant,3,0,0,845,0,0,52.629286,-1.137817
AHRC,Arts and Humanities,De Montfort University,2016-17,Research and Innovation Grant,3,0,0,600,0,0,52.629286,-1.137817
AHRC,Arts and Humanities,De Montfort University,2017-18,Research and Innovation Grant,8,3,38,862,416,48,52.629286,-1.137817
AHRC,Arts and Humanities,De Montfort University,2019-20,Research and Innovation Grant,3,1,33,668,36,5,52.629286,-1.137817
AHRC,Arts and Humanities,Edge Hill University,2019-20,Fellowship,1,1,100,200,202,101,53.559608,-2.873836
AHRC,Arts and Humanities,Edge Hill University,2015-16,Research and Innovation Grant,1,0,0,25,0,0,53.559608,-2.873836
AHRC,Arts and Humanities,Edge Hill University,2016-17,Research and Innovation Grant,1,0,0,24,0,0,53.559608,-2.873836
AHRC,Arts and Humanities,Edge Hill University,2017-18,Research and Innovation Grant,3,0,0,432,0,0,53.559608,-2.873836
AHRC,Arts and Humanities,Edge Hill University,2019-20,Research and Innovation Grant,2,2,100,116,117,101,53.559608,-2.873836
AHRC,Arts and Humanities,Edinburgh Napier University,2018-19,Fellowship,1,0,0,109,0,0,55.91805,-3.24006
AHRC,Arts and Humanities,Edinburgh Napier University,2015-16,Research and Innovation Grant,1,0,0,161,0,0,55.91805,-3.24006
AHRC,Arts and Humanities,Edinburgh Napier University,2016-17,Research and Innovation Grant,2,0,0,250,0,0,55.91805,-3.24006
AHRC,Arts and Humanities,Edinburgh Napier University,2017-18,Research and Innovation Grant,7,1,14,344,58,17,55.91805,-3.24006
AHRC,Arts and Humanities,Edinburgh Napier University,2018-19,Research and Innovation Grant,2,0,0,761,0,0,55.91805,-3.24006
AHRC,Arts and Humanities,Edinburgh Napier University,2019-20,Research and Innovation Grant,2,1,50,338,94,28,55.91805,-3.24006
AHRC,Arts and Humanities,Falmouth University,2018-19,Fellowship,1,0,0,180,0,0,50.149625,-5.071079
AHRC,Arts and Humanities,Falmouth University,2015-16,Research and Innovation Grant,1,1,100,64,64,100,50.149625,-5.071079
AHRC,Arts and Humanities,Falmouth University,2016-17,Research and Innovation Grant,1,0,0,772,0,0,50.149625,-5.071079
AHRC,Arts and Humanities,Falmouth University,2017-18,Research and Innovation Grant,1,1,100,56,56,100,50.149625,-5.071079
AHRC,Arts and Humanities,Falmouth University,2018-19,Research and Innovation Grant,5,1,20,7610,31,0,50.149625,-5.071079
AHRC,Arts and Humanities,Falmouth University,2019-20,Research and Innovation Grant,2,0,0,504,0,0,50.149625,-5.071079
AHRC,Arts and Humanities,Glasgow Caledonian University,2017-18,Research and Innovation Grant,1,0,0,60,0,0,55.86729,-4.250057
AHRC,Arts and Humanities,Glasgow School of Art,2018-19,Fellowship,1,1,100,200,202,101,55.865958,-4.263405
AHRC,Arts and Humanities,Glasgow School of Art,2015-16,Research and Innovation Grant,5,2,40,463,110,24,55.865958,-4.263405
AHRC,Arts and Humanities,Glasgow School of Art,2016-17,Research and Innovation Grant,3,2,67,932,149,16,55.865958,-4.263405
AHRC,Arts and Humanities,Glasgow School of Art,2017-18,Research and Innovation Grant,5,4,80,739,674,91,55.865958,-4.263405
AHRC,Arts and Humanities,Glasgow School of Art,2018-19,Research and Innovation Grant,1,1,100,32,32,101,55.865958,-4.263405
AHRC,Arts and Humanities,Glasgow School of Art,2019-20,Research and Innovation Grant,3,3,100,182,183,101,55.865958,-4.263405
AHRC,Arts and Humanities,Goldsmiths College,2016-17,Fellowship,1,0,0,182,0,0,51.474144,-0.035401
AHRC,Arts and Humanities,Goldsmiths College,2018-19,Fellowship,3,2,67,593,398,67,51.474144,-0.035401
AHRC,Arts and Humanities,Goldsmiths College,2019-20,Fellowship,1,0,0,105,0,0,51.474144,-0.035401
AHRC,Arts and Humanities,Goldsmiths College,2015-16,Research and Innovation Grant,8,1,13,1028,12,1,51.474144,-0.035401
AHRC,Arts and Humanities,Goldsmiths College,2016-17,Research and Innovation Grant,4,2,50,488,242,50,51.474144,-0.035401
AHRC,Arts and Humanities,Goldsmiths College,2017-18,Research and Innovation Grant,11,3,27,5891,4155,71,51.474144,-0.035401
AHRC,Arts and Humanities,Goldsmiths College,2018-19,Research and Innovation Grant,12,5,42,2301,259,11,51.474144,-0.035401
AHRC,Arts and Humanities,Goldsmiths College,2019-20,Research and Innovation Grant,5,1,20,1459,416,29,51.474144,-0.035401
AHRC,Arts and Humanities,Guildhall School of Music and Drama,2015-16,Research and Innovation Grant,2,2,100,226,228,101,51.519517,-0.092374
AHRC,Arts and Humanities,Guildhall School of Music and Drama,2018-19,Research and Innovation Grant,1,0,0,828,0,0,51.519517,-0.092374
AHRC,Arts and Humanities,Guildhall School of Music and Drama,2019-20,Research and Innovation Grant,1,1,100,826,840,102,51.519517,-0.092374
AHRC,Arts and Humanities,Heriot-Watt University,2016-17,Research and Innovation Grant,2,0,0,572,0,0,55.909385,-3.320682
AHRC,Arts and Humanities,Heriot-Watt University,2017-18,Research and Innovation Grant,2,0,0,398,0,0,55.909385,-3.320682
AHRC,Arts and Humanities,Historic Environment Scotland,2016-17,Research and Innovation Grant,2,2,100,1165,1189,102,55.93731387,-3.179112753
AHRC,Arts and Humanities,Historic Environment Scotland,2018-19,Research and Innovation Grant,2,0,0,167,0,0,55.93731387,-3.179112753
AHRC,Arts and Humanities,Historic Environment Scotland,2019-20,Research and Innovation Grant,1,1,100,1760,1804,102,55.93731387,-3.179112753
AHRC,Arts and Humanities,"Imperial College of Science, Technology and Medicine",2016-17,Fellowship,1,0,0,198,0,0,51.498317,-0.176923
AHRC,Arts and Humanities,"Imperial College of Science, Technology and Medicine",2015-16,Research and Innovation Grant,2,0,0,4057,0,0,51.498317,-0.176923
AHRC,Arts and Humanities,"Imperial College of Science, Technology and Medicine",2016-17,Research and Innovation Grant,2,1,50,114,92,81,51.498317,-0.176923
AHRC,Arts and Humanities,"Imperial College of Science, Technology and Medicine",2017-18,Research and Innovation Grant,2,1,50,239,78,33,51.498317,-0.176923
AHRC,Arts and Humanities,"Imperial College of Science, Technology and Medicine",2018-19,Research and Innovation Grant,1,1,100,200,203,102,51.498317,-0.176923
AHRC,Arts and Humanities,Institute of Development Studies,2016-17,Research and Innovation Grant,2,1,50,1196,638,53,50.86593906,-0.090077213
AHRC,Arts and Humanities,Institute of Development Studies,2017-18,Research and Innovation Grant,1,0,0,169,0,0,50.86593906,-0.090077213
AHRC,Arts and Humanities,King's College London,2015-16,Fellowship,2,1,50,364,201,55,51.511612,-0.116253
AHRC,Arts and Humanities,King's College London,2016-17,Fellowship,4,2,50,717,403,56,51.511612,-0.116253
AHRC,Arts and Humanities,King's College London,2017-18,Fellowship,4,1,25,756,189,25,51.511612,-0.116253
AHRC,Arts and Humanities,King's College London,2018-19,Fellowship,8,0,0,1314,0,0,51.511612,-0.116253
AHRC,Arts and Humanities,King's College London,2019-20,Fellowship,6,0,0,947,0,0,51.511612,-0.116253
AHRC,Arts and Humanities,King's College London,2015-16,Research and Innovation Grant,5,2,40,4131,3002,73,51.511612,-0.116253
AHRC,Arts and Humanities,King's College London,2016-17,Research and Innovation Grant,10,5,50,1839,867,47,51.511612,-0.116253
AHRC,Arts and Humanities,King's College London,2017-18,Research and Innovation Grant,19,6,32,6194,1135,18,51.511612,-0.116253
AHRC,Arts and Humanities,King's College London,2018-19,Research and Innovation Grant,14,6,43,10627,1982,19,51.511612,-0.116253
AHRC,Arts and Humanities,King's College London,2019-20,Research and Innovation Grant,11,4,36,4184,319,8,51.511612,-0.116253
AHRC,Arts and Humanities,Kingston University,2015-16,Fellowship,1,1,100,200,198,99,51.406309,-0.30786
AHRC,Arts and Humanities,Kingston University,2016-17,Fellowship,1,1,100,199,200,100,51.406309,-0.30786
AHRC,Arts and Humanities,Kingston University,2018-19,Fellowship,1,0,0,82,0,0,51.406309,-0.30786
AHRC,Arts and Humanities,Kingston University,2015-16,Research and Innovation Grant,5,2,40,477,249,52,51.406309,-0.30786
AHRC,Arts and Humanities,Kingston University,2016-17,Research and Innovation Grant,6,1,17,1035,227,22,51.406309,-0.30786
AHRC,Arts and Humanities,Kingston University,2017-18,Research and Innovation Grant,7,0,0,963,0,0,51.406309,-0.30786
AHRC,Arts and Humanities,Kingston University,2018-19,Research and Innovation Grant,2,1,50,202,36,18,51.406309,-0.30786
AHRC,Arts and Humanities,Kingston University,2019-20,Research and Innovation Grant,3,0,0,1320,0,0,51.406309,-0.30786
AHRC,Arts and Humanities,Leeds Beckett University,2018-19,Fellowship,1,0,0,149,0,0,53.826337,-1.59075
AHRC,Arts and Humanities,Leeds Beckett University,2019-20,Fellowship,1,0,0,200,0,0,53.826337,-1.59075
AHRC,Arts and Humanities,Leeds Beckett University,2015-16,Research and Innovation Grant,3,2,67,493,366,74,53.826337,-1.59075
AHRC,Arts and Humanities,Leeds Beckett University,2016-17,Research and Innovation Grant,1,1,100,70,80,114,53.826337,-1.59075
AHRC,Arts and Humanities,Leeds Beckett University,2017-18,Research and Innovation Grant,1,0,0,61,0,0,53.826337,-1.59075
AHRC,Arts and Humanities,Leeds Beckett University,2018-19,Research and Innovation Grant,1,0,0,345,0,0,53.826337,-1.59075
AHRC,Arts and Humanities,Leeds Beckett University,2019-20,Research and Innovation Grant,7,1,14,1535,127,8,53.826337,-1.59075
AHRC,Arts and Humanities,Leeds Trinity University,2016-17,Research and Innovation Grant,2,0,0,60,0,0,53.84878,-1.64735
AHRC,Arts and Humanities,Leeds Trinity University,2017-18,Research and Innovation Grant,1,0,0,187,0,0,53.84878,-1.64735
AHRC,Arts and Humanities,Liverpool Hope University,2015-16,Research and Innovation Grant,2,0,0,536,0,0,53.391475,-2.891936
AHRC,Arts and Humanities,Liverpool Hope University,2017-18,Research and Innovation Grant,4,1,25,366,54,15,53.391475,-2.891936
AHRC,Arts and Humanities,Liverpool Hope University,2018-19,Research and Innovation Grant,3,0,0,199,0,0,53.391475,-2.891936
AHRC,Arts and Humanities,Liverpool John Moores University,2017-18,Fellowship,1,1,100,113,114,101,53.403685,-2.973176
AHRC,Arts and Humanities,Liverpool John Moores University,2018-19,Fellowship,1,1,100,194,196,101,53.403685,-2.973176
AHRC,Arts and Humanities,Liverpool John Moores University,2019-20,Fellowship,1,0,0,106,0,0,53.403685,-2.973176
AHRC,Arts and Humanities,Liverpool John Moores University,2015-16,Research and Innovation Grant,1,1,100,30,30,100,53.403685,-2.973176
AHRC,Arts and Humanities,Liverpool John Moores University,2017-18,Research and Innovation Grant,4,0,0,891,0,0,53.403685,-2.973176
AHRC,Arts and Humanities,Liverpool John Moores University,2018-19,Research and Innovation Grant,7,2,29,1033,236,23,53.403685,-2.973176
AHRC,Arts and Humanities,Liverpool John Moores University,2019-20,Research and Innovation Grant,2,1,50,990,196,20,53.403685,-2.973176
AHRC,Arts and Humanities,Liverpool School of Tropical Medicine,2017-18,Research and Innovation Grant,1,0,0,173,0,0,53.408563,-2.969135
AHRC,Arts and Humanities,London School of Economics and Political Science,2016-17,Fellowship,1,0,0,143,0,0,51.514114,-0.116971
AHRC,Arts and Humanities,London School of Economics and Political Science,2018-19,Fellowship,1,0,0,192,0,0,51.514114,-0.116971
AHRC,Arts and Humanities,London School of Economics and Political Science,2015-16,Research and Innovation Grant,3,0,0,467,0,0,51.514114,-0.116971
AHRC,Arts and Humanities,London School of Economics and Political Science,2016-17,Research and Innovation Grant,1,1,100,688,699,102,51.514114,-0.116971
AHRC,Arts and Humanities,London School of Economics and Political Science,2017-18,Research and Innovation Grant,2,1,50,1440,725,50,51.514114,-0.116971
AHRC,Arts and Humanities,London School of Economics and Political Science,2018-19,Research and Innovation Grant,2,1,50,155,78,50,51.514114,-0.116971
AHRC,Arts and Humanities,London School of Economics and Political Science,2019-20,Research and Innovation Grant,1,0,0,723,0,0,51.514114,-0.116971
AHRC,Arts and Humanities,London School of Hygiene and Tropical Medicine,2017-18,Research and Innovation Grant,3,1,33,493,173,35,51.520925,-0.130687
AHRC,Arts and Humanities,London South Bank University,2015-16,Research and Innovation Grant,1,0,0,242,0,0,51.498708,-0.101772
AHRC,Arts and Humanities,London South Bank University,2016-17,Research and Innovation Grant,3,2,67,230,71,31,51.498708,-0.101772
AHRC,Arts and Humanities,London South Bank University,2017-18,Research and Innovation Grant,6,0,0,699,0,0,51.498708,-0.101772
AHRC,Arts and Humanities,London South Bank University,2018-19,Research and Innovation Grant,2,0,0,5806,0,0,51.498708,-0.101772
AHRC,Arts and Humanities,London South Bank University,2019-20,Research and Innovation Grant,1,0,0,45,0,0,51.498708,-0.101772
AHRC,Arts and Humanities,Loughborough University,2015-16,Fellowship,2,0,0,332,0,0,52.764828,-1.22952
AHRC,Arts and Humanities,Loughborough University,2017-18,Fellowship,3,0,0,584,0,0,52.764828,-1.22952
AHRC,Arts and Humanities,Loughborough University,2018-19,Fellowship,4,2,50,619,380,61,52.764828,-1.22952
AHRC,Arts and Humanities,Loughborough University,2019-20,Fellowship,2,0,0,366,0,0,52.764828,-1.22952
AHRC,Arts and Humanities,Loughborough University,2015-16,Research and Innovation Grant,3,0,0,89,0,0,52.764828,-1.22952
AHRC,Arts and Humanities,Loughborough University,2016-17,Research and Innovation Grant,3,2,67,863,798,93,52.764828,-1.22952
AHRC,Arts and Humanities,Loughborough University,2017-18,Research and Innovation Grant,10,2,20,1029,79,8,52.764828,-1.22952
AHRC,Arts and Humanities,Loughborough University,2018-19,Research and Innovation Grant,12,3,25,3033,302,10,52.764828,-1.22952
AHRC,Arts and Humanities,Loughborough University,2019-20,Research and Innovation Grant,16,5,31,3571,1521,43,52.764828,-1.22952
AHRC,Arts and Humanities,Middlesex University,2018-19,Fellowship,1,0,0,190,0,0,51.589826,-0.229909
AHRC,Arts and Humanities,Middlesex University,2015-16,Research and Innovation Grant,2,1,50,90,69,77,51.589826,-0.229909
AHRC,Arts and Humanities,Middlesex University,2016-17,Research and Innovation Grant,2,0,0,87,0,0,51.589826,-0.229909
AHRC,Arts and Humanities,Middlesex University,2017-18,Research and Innovation Grant,1,0,0,48,0,0,51.589826,-0.229909
AHRC,Arts and Humanities,Middlesex University,2018-19,Research and Innovation Grant,2,0,0,969,0,0,51.589826,-0.229909
AHRC,Arts and Humanities,Middlesex University,2019-20,Research and Innovation Grant,5,1,20,1090,34,3,51.589826,-0.229909
AHRC,Arts and Humanities,Newcastle University,2015-16,Fellowship,1,0,0,159,0,0,54.98032,-1.615713
AHRC,Arts and Humanities,Newcastle University,2016-17,Fellowship,6,1,17,1009,160,16,54.98032,-1.615713
AHRC,Arts and Humanities,Newcastle University,2017-18,Fellowship,1,0,0,165,0,0,54.98032,-1.615713
AHRC,Arts and Humanities,Newcastle University,2018-19,Fellowship,7,2,29,1201,267,22,54.98032,-1.615713
AHRC,Arts and Humanities,Newcastle University,2019-20,Fellowship,5,1,20,743,142,19,54.98032,-1.615713
